dorsal,ventral,occipital,frontal
48,96,100,104
32,92,100,12
16,24,68,8
52,28,64,16
32,100,64,124
64,96,68,168
88,92,88,128
84,28,64,132
92,96,64,160
32,92,72,164
92,0,64,112
64,92,96,96
92,96,96,132
84,92,68,168
32,72,100,164
36,96,100,28
32,64,72,96
48,80,80,116
76,76,72,100
60,80,68,100
92,96,100,12
64,92,68,104
120,100,100,108
32,96,64,132
76,24,64,64
92,96,96,68
84,96,68,132
80,80,64,132
32,136,100,100
64,28,60,104
48,92,100,96
48,72,60,168
52,64,64,72
52,92,80,64
16,76,72,16
8,136,12,8
28,100,100,112
52,92,64,8
84,88,96,68
32,96,100,96
32,92,64,164
64,96,12,100
52,76,72,168
64,12,64,100
52,24,76,60
40,92,100,108
84,12,12,12
52,96,60,140
152,100,68,168
40,96,100,128
92,96,76,112
92,96,100,108
80,92,84,96
92,92,100,12
84,92,88,112
92,96,100,120
76,8,84,108
80,92,72,160
40,56,48,108
64,96,64,168
48,96,96,12
76,80,88,132
28,76,60,100
32,136,48,168
84,76,68,168
12,28,72,12
92,96,96,132
52,24,84,64
152,136,124,12
48,24,64,8
40,88,92,128
144,144,68,164
144,140,100,132
44,64,72,64
44,24,64,8
148,76,56,168
48,92,96,132
64,28,100,28
64,20,12,96
40,92,92,132
36,76,64,60
52,64,28,96
64,64,76,96
64,116,64,112
36,100,72,116
28,80,64,112
32,96,100,96
52,148,52,12
80,84,76,132
20,80,52,136
60,68,56,72
32,68,64,96
40,92,88,124
64,92,100,100
52,148,52,168
80,24,84,100
40,92,96,108
60,24,60,60
0,24,64,8
52,96,12,12
76,88,84,4
8,148,64,28
88,96,68,136
32,96,100,164
96,96,100,108
92,96,64,112
80,80,76,96
92,96,68,140
36,96,48,64
144,100,72,140
152,96,68,168
52,92,100,12
164,100,72,12
76,92,84,104
84,76,64,64
40,84,72,108
52,92,60,96
64,80,0,168
84,0,12,108
8,28,76,104
32,92,96,96
56,24,64,100
88,96,92,64
36,80,52,112
32,64,60,96
48,96,96,96
84,92,68,64
64,64,60,60
80,84,68,164
32,96,56,168
28,88,72,164
36,92,96,168
56,92,12,12
40,96,100,8
92,136,48,64
144,140,100,4
8,80,68,12
160,96,124,12
64,96,64,108
84,92,72,100
152,96,96,136
64,92,64,108
64,88,12,64
40,88,88,132
64,76,68,108
32,100,100,128
32,24,60,96
8,120,60,164
64,76,52,104
44,84,84,104
64,76,60,108
48,72,64,92
32,56,48,32
48,96,68,136
32,28,60,112
8,96,64,8
64,4,4,100
84,88,60,164
28,116,64,104
64,96,96,64
84,112,68,132
52,64,60,112
64,72,52,96
64,72,72,96
64,76,64,100
36,96,72,108
36,92,64,168
52,92,76,68
92,96,92,108
52,24,8,8
88,96,100,132
48,92,84,96
40,92,88,100
20,80,60,100
104,96,100,132
24,92,100,104
96,24,52,16
36,96,68,112
40,92,92,108
84,24,68,12
12,72,64,32
84,84,72,168
84,32,92,128
64,96,100,68
32,64,84,96
84,44,72,140
28,96,84,96
60,72,52,96
92,96,96,132
88,148,64,16
64,8,8,100
64,92,100,104
48,96,76,128
160,96,72,4
36,96,100,132
52,96,60,12
8,136,64,132
40,24,64,108
36,96,72,164
64,76,64,100
80,84,88,132
64,96,96,104
64,24,64,64
32,96,100,36
56,96,96,104
64,96,76,64
48,92,96,64
36,136,64,156
84,76,64,164
84,92,76,136
16,28,64,68
84,80,64,168
116,92,96,104
40,28,60,108
80,28,96,104
28,96,84,112
84,92,72,164
68,96,64,112
48,24,64,8
64,4,60,108
40,96,68,168
48,92,64,168
64,96,96,132
88,92,124,132
80,88,84,104
32,96,96,96
20,136,96,16
32,28,60,116
52,92,52,12
64,96,76,168
68,96,96,132
80,88,76,104
112,92,100,96
48,56,48,96
56,24,52,100
108,96,100,12
88,96,88,124
52,92,64,8
32,92,72,112
16,24,12,8
124,96,96,104
164,100,64,172
84,96,84,104
36,88,96,132
48,88,72,12
48,72,96,96
64,92,64,108
64,24,60,136
64,80,60,96
48,96,76,132
64,72,68,164
60,24,28,8
32,96,100,60
84,96,96,132
32,96,72,116
88,76,64,168
64,96,64,132
32,96,64,12
84,96,76,112
80,88,100,104
36,76,64,100
84,104,64,132
144,120,116,20
64,96,52,64
32,92,100,96
64,92,100,96
8,96,64,8
84,76,64,168
40,28,68,112
40,92,100,128
88,96,52,136
12,28,64,12
84,96,68,136
92,100,68,16
84,80,64,168
32,92,48,116
