,dorsal
0,0
1,64
2,68
3,64
4,84
5,68
6,64
7,64
8,68
9,88
10,64
11,84
12,84
13,88
14,92
15,64
16,88
17,64
18,64
19,64
20,64
21,64
22,64
23,92
24,64
25,64
26,84
27,68
28,92
29,88
30,64
31,64
32,64
33,88
34,64
35,60
36,64
37,84
38,64
39,64
40,64
41,92
42,64
43,68
44,64
45,84
46,68
47,48
48,88
49,64
50,92
51,88
52,64
53,64
54,64
55,44
56,52
57,52
58,92
59,64
60,84
61,64
62,64
63,64
64,84
65,84
66,88
67,64
68,40
69,64
70,64
71,88
72,52
73,92
74,84
75,68
76,64
77,64
78,64
79,88
80,84
81,64
82,92
83,84
84,64
85,60
86,52
87,92
88,84
89,60
90,64
91,92
92,88
93,84
94,68
95,44
96,64
97,44
98,68
99,88
100,32
101,64
102,88
103,92
104,88
105,88
106,92
107,92
108,64
109,44
110,64
111,64
112,84
113,64
114,64
115,92
116,88
117,64
118,64
119,64
120,64
121,84
122,68
123,84
124,64
125,44
126,64
127,44
128,64
129,88
130,64
131,92
132,40
133,84
134,64
135,88
136,64
137,44
138,64
139,64
140,68
141,64
142,68
143,64
144,84
145,44
146,88
147,88
148,84
149,64
150,68
151,84
152,64
153,92
154,64
155,88
156,64
157,92
158,68
159,64
160,64
161,64
162,64
163,64
164,68
165,36
166,64
167,84
168,64
169,64
170,40
171,84
172,64
173,64
174,88
175,60
176,64
177,84
178,84
179,64
180,84
181,88
182,60
183,88
184,92
185,64
186,64
187,84
188,48
189,48
190,64
191,92
192,52
193,52
194,64
195,64
196,64
197,88
198,92
199,84
200,68
201,60
202,64
203,64
204,64
205,44
206,64
207,64
208,88
209,64
210,48
211,60
212,64
213,64
214,64
215,64
216,64
217,64
218,84
219,88
220,64
221,84
222,60
223,88
224,64
225,84
226,64
227,68
228,92
229,68
230,52
231,64
232,44
233,84
234,84
235,88
236,88
237,64
238,84
239,68
240,40
241,84
242,68
243,64
244,88
245,88
246,64
247,64
248,64
249,64
250,84
251,64
252,84
253,64
254,84
255,88
256,64
257,92
258,64
259,92
260,64
261,64
262,64
263,88
264,64
265,64
266,64
267,44
268,48
269,64
270,44
271,84
272,64
273,48
274,44
275,68
276,44
277,68
278,40
279,64
280,88
281,68
282,52
283,88
284,64
285,88
286,88
287,68
288,64
289,68
290,52
291,84
292,64
293,64
294,64
295,68
296,44
297,68
298,64
299,84
300,64
301,88
302,68
303,64
304,64
305,84
306,88
307,92
308,84
309,64
310,60
311,84
312,84
313,64
314,64
315,92
316,68
317,64
318,64
319,64
320,84
321,64
322,68
323,64
324,64
325,64
326,64
327,64
328,64
329,88
330,84
331,92
332,64
333,64
334,68
335,84
336,116
337,88
338,64
339,64
340,68
341,64
342,52
343,64
344,84
345,88
346,88
347,44
348,68
349,64
350,64
351,64
352,68
353,84
354,64
355,64
356,64
357,40
358,88
359,64
360,36
361,64
362,64
363,92
364,68
365,84
366,88
367,96
368,64
369,92
370,64
371,88
372,64
373,52
374,92
375,84
376,52
377,64
378,64
379,52
380,88
381,84
382,52
383,64
384,64
385,84
386,84
387,64
388,64
389,92
390,44
391,64
392,64
393,92
394,84
395,64
396,64
397,88
398,92
399,64
400,44
401,68
402,88
403,84
404,64
405,52
406,64
407,64
408,64
409,68
410,88
411,92
412,64
413,88
414,64
415,64
416,68
417,84
418,88
419,64
420,84
421,92
422,84
423,64
424,48
425,64
426,92
427,92
428,64
429,112
430,0
431,64
432,64
433,40
434,52
435,64
436,64
437,64
438,88
439,88
440,64
441,52
442,84
443,88
444,52
445,64
446,64
447,92
448,64
449,60
450,88
451,64
452,64
453,84
454,88
455,64
456,64
457,84
458,64
459,84
460,68
461,44
462,64
463,64
464,64
465,64
466,64
467,64
468,64
469,64
470,48
471,64
472,88
473,64
474,88
475,64
476,64
477,92
478,92
479,88
480,88
481,84
482,64
483,92
484,64
485,64
486,64
487,68
488,64
489,52
490,88
491,64
492,52
493,88
494,88
495,68
496,44
497,64
498,64
499,64
500,64
501,64
502,64
503,64
504,64
505,64
506,40
507,84
508,88
509,84
510,68
511,92
512,84
513,84
514,84
515,68
516,64
517,64
518,88
519,64
520,64
521,68
522,44
523,64
524,64
525,92
526,52
527,124
528,64
529,88
530,84
531,88
532,68
533,64
534,48
535,44
536,64
537,64
538,64
539,52
540,48
541,60
542,84
543,64
544,88
545,88
546,64
547,88
548,64
549,64
550,64
551,68
552,52
553,64
554,36
555,92
556,64
557,88
558,84
559,92
560,40
561,64
562,64
563,64
564,64
565,64
566,84
567,64
568,92
569,64
570,88
571,88
572,64
573,92
574,48
575,92
576,88
577,68
578,64
579,84
580,84
581,52
582,68
583,44
584,64
585,52
586,64
587,48
588,88
589,52
590,64
591,88
592,64
593,40
594,88
595,84
596,52
597,64
598,68
599,40
600,64
601,44
602,64
603,88
604,64
605,84
606,64
607,64
608,64
609,64
610,64
611,64
612,64
613,84
614,88
615,64
616,64
617,64
618,44
619,64
620,64
621,64
622,40
623,92
624,52
625,64
626,48
627,68
628,64
629,64
630,92
631,84
632,60
633,84
634,0
635,64
636,52
637,64
638,84
639,84
640,56
641,68
642,88
643,68
644,64
645,48
646,64
647,64
648,64
649,84
650,64
651,64
652,84
653,92
654,64
655,92
656,92
657,64
658,64
659,84
660,92
661,40
662,68
663,64
664,64
665,92
666,88
667,88
668,92
669,84
670,88
671,88
672,64
673,64
674,88
